educationagencyname,averagetest,income50perc,percentblacks,percentwhites,totalenrollment
A-C CENTRAL CUSD 262,-0.0744,61285.63,0.0168,0.9631,208.1667
A-H-S-T COMM SCHOOL DISTRICT,0.2946,60964.22,0.0018,0.966,265
A.C.G.C.,0.328,67499.5,0.0063,0.9313,367.6667
ABBEVILLE 60,0.3362,41527.47,0.3636,0.6045,1532.333
ABBOTSFORD SCHOOL DISTRICT,-0.2244,52399.76,0.0034,0.6477,290
ABBOTT ISD,0.3627,93999.24,0.0084,0.888,130.6667
ABC UNIFIED,0.215,72702.64,0.0969,0.0751,9324
ABERDEEN DISTRICT,-0.8474,46221.98,0,0.4368,357
ABERDEEN SCHOOL DIST,-2.2359,18721.48,0.9557,0.033,612.6667
ABERDEEN SCHOOL DISTRICT,-0.6748,42187.07,0.0112,0.6276,1423
ABERDEEN SCHOOL DISTRICT 06-1,0.6075,63172.86,0.0177,0.874,1800.167
ABERNATHY ISD,-0.2395,61593.64,0.0162,0.4113,348.5
ABILENE,0.5348,68999.4,0.0193,0.8852,707.1667
ABILENE ISD,-0.1256,42822.71,0.1255,0.424,7307.5
ABINGDON CUSD 217,-0.2431,49771.77,0.0157,0.9375,267
ABINGTON,1.0737,83671.53,0.0171,0.9299,1047.333
ABINGTON  SD,1.5516,91017.32,0.2156,0.6739,3348
ABINGTON HEIGHTS SD,1.6709,94852.15,0.0162,0.9153,1554.667
ABSAROKEE ELEM,-0.1335,78749.85,0.0055,0.9363,119.6667
ABSECON CITY,0.523,80241.73,0.1281,0.6498,527
ACADEMY ISD,0.2204,65599.63,0.0154,0.7489,528.1667
ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,1.8139,104218.6,0.0341,0.7702,10531.83
ACADIA PARISH,-0.9199,40324.01,0.2918,0.6757,4505.167
ACCOMACK CO PBLC SCHS,-0.1074,44520.37,0.3827,0.4408,2273.667
ACHILLE,-1.0836,52999.7,0.017,0.6761,147.8333
ACKERMAN ELEMENTARY,0.2665,84999.6,0.0154,0.8154,337.6667
ACTON,3.1129,148652.9,0.0089,0.6542,1487.667
ACTON SCHOOL DEPARTMENT,0.3981,77499.9,0.0037,0.9603,168.8333
ACTON-AGUA DULCE UNIFIED,-0.6318,104166.5,0.0076,0.6079,736.3333
ACTON-BOXBOROUGH,3.1116,157191.6,0.0079,0.6926,958.3333
ACUSHNET,1.2527,93978.83,0.0069,0.985,680
ADA,-0.45,33381.68,0.0495,0.4736,1125.5
ADA EXEMPTED VILLAGE,0.5372,72624.16,0.0145,0.9498,434.8333
ADA-BORUP PUBLIC SCHOOL DISTRICT,0.8104,61833.21,0.0092,0.8751,237.3333
ADAIR,0.1115,74999,0.0041,0.6013,449.6667
ADAIR CO,0.1237,43862.86,0.0183,0.9147,1140.5
ADAIR CO. R-I,-0.3489,47624.48,0.0027,0.9867,117.3333
ADAIR CO. R-II,0.3154,69999.34,0.0057,0.9632,105
ADAIR-CASEY COMM SCHOOL DISTRICT,-0.0568,49499.1,0.0031,0.9807,146.8333
ADAMS 12 FIVE STAR SCHOOLS,0.1622,72906.48,0.0228,0.5827,20797
ADAMS CENTRAL COMMUNITY SCHOOLS,1.385,68249.45,0.0019,0.9665,528.3333
ADAMS CENTRAL PUBLIC SCHOOLS,0.5467,72749.15,0.0105,0.9577,369.1667
ADAMS COUNTY/OHIO VALLEY LOCAL,0.3236,39084.55,0.0015,0.9882,1800.167
ADAMS TOWNSHIP SCHOOL DISTRICT,-0.4581,63749.76,0.0121,0.9756,191.6667
ADAMS-CHESHIRE,0.3006,57399.26,0.0476,0.9084,856.5
ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT,-0.6439,42953.95,0.013,0.9165,734
ADDISON CENTRAL SCHOOL DISTRICT,-1.1661,45999.8,0.0127,0.9633,527.3333
ADDISON COMMUNITY SCHOOLS,-0.2166,56307.06,0.019,0.9086,412.1667
ADDISON SD 4,-0.5885,57082.63,0.0219,0.2778,2751.833
ADEL DESOTO MINBURN COMM SCHOOL DISTRICT,0.8852,72374.17,0.0034,0.9615,681.1667
ADELANTO ELEMENTARY,-1.7765,55206.09,0.2261,0.1018,5528.667
ADENA LOCAL,-0.1264,60529.38,0.0173,0.935,586.1667
ADIRONDACK CENTRAL SCHOOL DISTRICT,-0.6051,55317.65,0.0078,0.9776,589
ADNA SCHOOL DISTRICT,-0.1566,73499.1,0.0011,0.9152,288.8333
ADRIAN CITY SCHOOL DISTRICT,-0.8966,46617.32,0.0733,0.601,1423.167
ADRIAN PUBLIC SCHOOL DISTRICT,0.7372,58599.14,0.0149,0.8902,264.1667
ADRIAN R-III,0.8283,52714.02,0.0061,0.9849,334
ADRIAN SD 61,0.7811,46124.77,0,0.7057,106.6667
ADVANCE R-IV,0.6094,40833.16,0.0026,0.9888,194
AFFTON 101,0.4664,59472.74,0.0751,0.8088,1073.5
AFTON,-0.9528,35699.86,0.0021,0.6025,209.8333
AFTON CENTRAL SCHOOL DISTRICT,-0.4758,51333.21,0.0084,0.8549,242.8333
AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,1.0936,69832.68,0.0103,0.8885,129.6667
AGAWAM,1.2177,74199.05,0.0119,0.9124,1925.667
AGRA,-0.3725,55332.8,0.015,0.5877,191.1667
AGWSR COMM SCHOOL DISTRICT,0.3187,67374.51,0.0049,0.8774,235.3333
AIKEN 01,-0.5565,47197.36,0.3441,0.5639,11155.83
AINSWORTH COMMUNITY SCHOOLS,0.0404,42249.55,0.0023,0.9557,209.8333
AIRPORT COMMUNITY SCHOOL DISTRICT,-0.7396,61708.75,0.0481,0.9008,1198.667
AITKIN PUBLIC SCHOOL DISTRICT,0.6663,51896.36,0.0202,0.9477,567.8333
AKRON CENTRAL SCHOOL DISTRICT,0.7088,66976.28,0.0081,0.8552,697.1667
AKRON CITY,-1.2115,33985.05,0.4805,0.3837,11182.83
AKRON SCHOOL DISTRICT NO. R-1,0.5278,56599.34,0.0067,0.8131,168.8333
AKRON WESTFIELD COMM SCHOOL DISTRICT,0.2942,85499.58,0.0076,0.8812,239.1667
