educationagencyname,averagetest,income50perc,ginico,percentmalesBA,percentfemalesBA,percentmalespov,percentfemalespov,percentnatam,percentasian,percenthispanic,percentblacks,percentwhites,totalenrollment
WOODSIDE ELEMENTARY,2.3928,228529.4,0.1616,0.704,0.6568,0.0255,0.0253,0.0005,0.0377,0.1081,0.0154,0.7562,304.3333
RIVERDALE SD 51J,1.8702,228400,0.152,0.8889,0.7677,0.0227,0.0154,0,0.0474,0.0128,0.017,0.8984,246.5
HILLSBOROUGH CITY ELEMENTARY,3.0342,226335.9,0.1699,0.7734,0.6503,0.0209,0.0361,0.0013,0.2907,0.0222,0.0018,0.6714,1047.167
SCARSDALE UNION FREE SCHOOL DISTRICT,2.3664,225838,0.1421,0.8734,0.8326,0.0061,0.0332,0,0.1484,0.0459,0.011,0.7457,2267.333
KENILWORTH SD 38,2.5344,225306.1,0.1688,0.9231,0.856,0.0084,0.0071,0,0.0266,0.0177,0,0.9181,376.1667
SADDLE RIVER,2.6637,224117.6,0.1777,0.7495,0.5367,0.0208,0.0069,0,0.0314,0.0287,0.0306,0.855,110
BUTLER SD 53,3.1074,222413.8,0.1612,0.6641,0.4358,0,0.0184,0,0.3448,0.0297,0.0183,0.547,277.1667
WINNETKA SD 36,2.4953,222094.6,0.1891,0.8897,0.8641,0.0134,0.0338,0.0011,0.0282,0.0175,0.0018,0.9311,1316.333
ROSS ELEMENTARY,1.9886,221428.6,0.1982,0.8603,0.7656,0.0547,0.0652,0,0.0303,0.0459,0.0047,0.918,243.6667
ORINDA UNION ELEMENTARY,2.6462,220877.2,0.148,0.8305,0.7167,0.0224,0.0208,0.0065,0.1392,0.0381,0.0168,0.5983,1679.5
SHERBORN,2.8914,220689.7,0.1654,0.8578,0.7364,0.0291,0.0301,0,0.0388,0.0132,0.0292,0.8772,229.3333
DOVER-SHERBORN,2.8955,219375,0.21,0.8228,0.7764,0.0256,0.0223,0.0009,0.0582,0.0115,0.0218,0.888,535.5
RYE CITY SCHOOL DISTRICT,2.6357,218469.4,0.1872,0.7493,0.6493,0.0114,0.0162,0.0013,0.0844,0.0554,0.011,0.839,1513
CHAPPAQUA CENTRAL SCHOOL DISTRICT,2.5112,218392.9,0.1736,0.82,0.7526,0.0141,0.0176,0.0009,0.0893,0.0338,0.0088,0.8328,1951.5
NEW CANAAN SCHOOL DISTRICT,2.7202,217060.8,0.2037,0.8404,0.6925,0.0166,0.0304,0.0046,0.0401,0.0287,0.0098,0.906,1908.5
BLIND BROOK-RYE UNION FREE SCHOOL DISTRICT,2.2268,216494.8,0.1596,0.688,0.6236,0.0208,0.0828,0,0.0584,0.0234,0.0041,0.9056,759.8333
ALPINE,2.7156,216153.8,0.2448,0.7442,0.6689,0.0153,0.0516,0,0.2014,0.0454,0.0081,0.7367,99.1667
