date	S01	S02	S03	S04	S05	S06
E01	1.53	2.18	1.80	1.59	2.00	1.91
E02	1.42	1.55	1.99	1.71	1.35	1.77
E03	1.23	1.70	1.87	1.77	1.99	1.53
E04	1.86	1.87	2.35	1.62	1.85	1.59
E05	1.74	1.96	2.31	1.90	1.71	1.78
E06	1.81	1.91	2.19	1.84	1.38	1.78
E07	2.02	2.10	2.09	2.01	1.64	1.81
E08	1.91	2.10	1.94	1.72	1.84	1.85
E09	2.17	1.68	1.93	2.00	1.85	1.82
E10	1.81	2.13	1.98	1.82	1.89	1.90
E11	2.16	2.31	2.04	1.80	2.14	1.81
E12	2.31	2.06	2.07	1.78	1.73	1.90
E13	2.75	2.26	1.85	1.95	1.86	1.79
E14	2.55	2.19	1.93	1.91	1.78	1.67
E15	2.69	2.34	1.89	1.91	1.60	1.66
E16	1.59	2.43	1.79	1.71	1.81	1.70
E17	1.12	2.59	1.56	1.80	1.96	1.83
E18	1.92	2.50	1.60	1.83	1.81	1.83
E19	1.92	2.76	2.05	1.95	1.88	1.76
E20	1.92	3.02	2.29	1.71	2.27	1.98
E21	1.92	2.85	2.11	1.96	2.13	2.03
E22	1.92	2.39	1.57	1.81	1.97	1.88
E23	1.92	2.14	1.96	1.37	1.30	1.80
